,SPGI
1982-06-25,0.085738
1982-06-28,0.085738
1982-06-29,0.084285
1982-06-30,0.0847
1982-07-01,0.08387
1982-07-02,0.080756
1982-07-06,0.080963
1982-07-07,0.080548
1982-07-08,0.078057
1982-07-09,0.079925
1982-07-12,0.084285
1982-07-13,0.085115
1982-07-14,0.082832
1982-07-15,0.08553
1982-07-16,0.084285
1982-07-19,0.084285
1982-07-20,0.084285
1982-07-21,0.084492
1982-07-22,0.084908
1982-07-23,0.0847
1982-07-26,0.0847
1982-07-27,0.083662
1982-07-28,0.083454
1982-07-29,0.083247
1982-07-30,0.083454
1982-08-02,0.082832
1982-08-03,0.08034
1982-08-04,0.078264
1982-08-05,0.078887
1982-08-06,0.081171
1982-08-09,0.078472
1982-08-10,0.078057
1982-08-11,0.078057
1982-08-12,0.078472
1982-08-13,0.078057
1982-08-16,0.075358
1982-08-17,0.077019
1982-08-18,0.080133
1982-08-19,0.083039
1982-08-20,0.084285
1982-08-23,0.08553
1982-08-24,0.085115
1982-08-25,0.085323
1982-08-26,0.088852
1982-08-27,0.088022
1982-08-30,0.086153
1982-08-31,0.086568
1982-09-01,0.087191
1982-09-02,0.091343
1982-09-03,0.095288
1982-09-07,0.094665
1982-09-08,0.09508
1982-09-09,0.096118
1982-09-10,0.09508
1982-09-13,0.094665
1982-09-14,0.096533
1982-09-15,0.098817
1982-09-16,0.099647
1982-09-17,0.096741
1982-09-20,0.095703
1982-09-21,0.099647
1982-09-22,0.101723
1982-09-23,0.10027
1982-09-24,0.099232
1982-09-27,0.097156
1982-09-28,0.097779
1982-09-29,0.097986
1982-09-30,0.097779
1982-10-01,0.097156
1982-10-04,0.096326
1982-10-05,0.096948
1982-10-06,0.097986
1982-10-07,0.103384
1982-10-08,0.107951
1982-10-11,0.112103
1982-10-12,0.108574
1982-10-13,0.108366
1982-10-14,0.107328
1982-10-15,0.106498
1982-10-18,0.107121
1982-10-19,0.10629
1982-10-20,0.108781
1982-10-21,0.110442
1982-10-22,0.109612
1982-10-25,0.107536
1982-10-26,0.106705
1982-10-27,0.107328
1982-10-28,0.108989
1982-10-29,0.108781
1982-11-01,0.108574
1982-11-02,0.108989
1982-11-03,0.112726
1982-11-04,0.119369
1982-11-05,0.119161
1982-11-08,0.117085
1982-11-09,0.119161
1982-11-10,0.119577
1982-11-11,0.117916
1982-11-12,0.11667
1982-11-15,0.116047
1982-11-16,0.115425
1982-11-17,0.11667
1982-11-18,0.116047
1982-11-19,0.113764
1982-11-22,0.112933
1982-11-23,0.113556
1982-11-24,0.113971
1982-11-26,0.116878
1982-11-29,0.123313
1982-11-30,0.124974
1982-12-01,0.130372
1982-12-02,0.12622
1982-12-03,0.126427
1982-12-06,0.128711
1982-12-07,0.132863
1982-12-08,0.133693
1982-12-09,0.13307
1982-12-10,0.132448
1982-12-13,0.132032
1982-12-14,0.127258
1982-12-15,0.123728
1982-12-16,0.120407
1982-12-17,0.122483
1982-12-20,0.120407
1982-12-21,0.122898
1982-12-22,0.126427
1982-12-23,0.124974
1982-12-27,0.124974
1982-12-28,0.124144
1982-12-29,0.124144
1982-12-30,0.124974
1982-12-31,0.124974
1983-01-03,0.122068
1983-01-04,0.119992
1983-01-05,0.118746
1983-01-06,0.122898
1983-01-07,0.123728
1983-01-10,0.125389
1983-01-11,0.126635
1983-01-12,0.125389
1983-01-13,0.123728
1983-01-14,0.124559
1983-01-17,0.122898
1983-01-18,0.120822
1983-01-19,0.121652
1983-01-20,0.123728
1983-01-21,0.121237
1983-01-24,0.1175
1983-01-25,0.1175
1983-01-26,0.119161
1983-01-27,0.120822
1983-01-28,0.122068
1983-01-31,0.124559
1983-02-01,0.12622
1983-02-02,0.124144
